IMG_ID,CLUSTER_ID_0,CLUSTER_ID_1,CLUSTER_ID_2,CLUSTER_ID_3,CLUSTER_ID_4,CLUSTER_ID_5,CLUSTER_ID_6,CLUSTER_ID_7,CLUSTER_ID_8,CLUSTER_ID_9,CLUSTER_ID_10,CLUSTER_ID_11,CLUSTER_ID_12,CLUSTER_ID_13,CLUSTER_ID_14,CLUSTER_ID_15,CLUSTER_ID_16,CLUSTER_ID_17,CLUSTER_ID_18,CLUSTER_ID_19,CLUSTER_ID_20,CLUSTER_ID_21,CLUSTER_ID_22,CLUSTER_ID_23,CLUSTER_ID_24,CLUSTER_ID_25,CLUSTER_ID_26,CLUSTER_ID_27,CLUSTER_ID_28,CLUSTER_ID_29,CLUSTER_ID_30,CLUSTER_ID_31,CLUSTER_ID_32,CLUSTER_ID_33,CLUSTER_ID_34,CLUSTER_ID_35,CLUSTER_ID_36,CLUSTER_ID_37,CLUSTER_ID_38,CLUSTER_ID_39,CLUSTER_ID_40,CLUSTER_ID_41,CLUSTER_ID_42,CLUSTER_ID_43,CLUSTER_ID_44,CLUSTER_ID_45,CLUSTER_ID_46,CLUSTER_ID_47,CLUSTER_ID_48,CLUSTER_ID_49,CLUSTER_ID_50,CLUSTER_ID_51,CLUSTER_ID_52,CLUSTER_ID_53,CLUSTER_ID_54,CLUSTER_ID_55,CLUSTER_ID_56,CLUSTER_ID_57,CLUSTER_ID_58,CLUSTER_ID_59,CLUSTER_ID_60,CLUSTER_ID_61,CLUSTER_ID_62,CLUSTER_ID_63,CLUSTER_ID_64,CLUSTER_ID_65,CLUSTER_ID_66,CLUSTER_ID_67,CLUSTER_ID_68,CLUSTER_ID_69,CLUSTER_ID_70,CLUSTER_ID_71,CLUSTER_ID_72,CLUSTER_ID_73,CLUSTER_ID_74,CLUSTER_ID_75,CLUSTER_ID_76,CLUSTER_ID_77,CLUSTER_ID_78,CLUSTER_ID_79,CLUSTER_ID_80,CLUSTER_ID_81,CLUSTER_ID_82,CLUSTER_ID_83,CLUSTER_ID_84,CLUSTER_ID_85,CLUSTER_ID_86,CLUSTER_ID_87,CLUSTER_ID_88,CLUSTER_ID_89,CLUSTER_ID_90,CLUSTER_ID_91,CLUSTER_ID_92,CLUSTER_ID_93,CLUSTER_ID_94,CLUSTER_ID_95,CLUSTER_ID_96,CLUSTER_ID_97,CLUSTER_ID_98,CLUSTER_ID_99,CLUSTER_ID_100,CLUSTER_ID_101,CLUSTER_ID_102,CLUSTER_ID_103,CLUSTER_ID_104,CLUSTER_ID_105,CLUSTER_ID_106,CLUSTER_ID_107,CLUSTER_ID_108,CLUSTER_ID_109,CLUSTER_ID_110,CLUSTER_ID_111,CLUSTER_ID_112,CLUSTER_ID_113,CLUSTER_ID_114,CLUSTER_ID_115,CLUSTER_ID_116,CLUSTER_ID_117,CLUSTER_ID_118,CLUSTER_ID_119,CLUSTER_ID_120,CLUSTER_ID_121,CLUSTER_ID_122,CLUSTER_ID_123,CLUSTER_ID_124,CLUSTER_ID_125,CLUSTER_ID_126,CLUSTER_ID_127,CLUSTER_ID_128,CLUSTER_ID_129,CLUSTER_ID_130,CLUSTER_ID_131,CLUSTER_ID_132,CLUSTER_ID_133,CLUSTER_ID_134,CLUSTER_ID_135,CLUSTER_ID_136,CLUSTER_ID_137,CLUSTER_ID_138,CLUSTER_ID_139,CLUSTER_ID_140,CLUSTER_ID_141,CLUSTER_ID_142,CLUSTER_ID_143,CLUSTER_ID_144,CLUSTER_ID_145,CLUSTER_ID_146,CLUSTER_ID_147,CLUSTER_ID_148,CLUSTER_ID_149,CLUSTER_ID_150,CLUSTER_ID_151,CLUSTER_ID_152,CLUSTER_ID_153,CLUSTER_ID_154,CLUSTER_ID_155,CLUSTER_ID_156,CLUSTER_ID_157,CLUSTER_ID_158,CLUSTER_ID_159,CLUSTER_ID_160,CLUSTER_ID_161,CLUSTER_ID_162,CLUSTER_ID_163,CLUSTER_ID_164,CLUSTER_ID_165,CLUSTER_ID_166,CLUSTER_ID_167,CLUSTER_ID_168,CLUSTER_ID_169,CLUSTER_ID_170,CLUSTER_ID_171,CLUSTER_ID_172,CLUSTER_ID_173,CLUSTER_ID_174,CLUSTER_ID_175,CLUSTER_ID_176,CLUSTER_ID_177,CLUSTER_ID_178,CLUSTER_ID_179,CLUSTER_ID_180,CLUSTER_ID_181,CLUSTER_ID_182,CLUSTER_ID_183,CLUSTER_ID_184,CLUSTER_ID_185,CLUSTER_ID_186,CLUSTER_ID_187,CLUSTER_ID_188,CLUSTER_ID_189,CLUSTER_ID_190,CLUSTER_ID_191,CLUSTER_ID_192,CLUSTER_ID_193,CLUSTER_ID_194,CLUSTER_ID_195,CLUSTER_ID_196,CLUSTER_ID_197,CLUSTER_ID_198,CLUSTER_ID_199
377,7.0,6.0,13.0,8.0,12.0,8.0,3.0,15.0,19.0,5.0,3.0,10.0,4.0,4.0,13.0,9.0,14.0,9.0,7.0,9.0,6.0,8.0,12.0,5.0,2.0,11.0,6.0,11.0,6.0,8.0,3.0,16.0,5.0,3.0,4.0,10.0,4.0,7.0,7.0,8.0,9.0,9.0,10.0,11.0,14.0,4.0,10.0,8.0,8.0,6.0,9.0,5.0,6.0,6.0,9.0,5.0,6.0,8.0,7.0,4.0,7.0,3.0,5.0,10.0,9.0,5.0,10.0,4.0,5.0,13.0,5.0,3.0,3.0,21.0,10.0,5.0,6.0,6.0,5.0,7.0,4.0,8.0,11.0,2.0,9.0,9.0,19.0,3.0,4.0,8.0,6.0,4.0,13.0,8.0,4.0,7.0,3.0,10.0,9.0,7.0,7.0,6.0,8.0,6.0,9.0,3.0,5.0,10.0,9.0,3.0,4.0,6.0,3.0,12.0,7.0,6.0,9.0,6.0,6.0,4.0,4.0,7.0,10.0,9.0,8.0,9.0,12.0,8.0,16.0,11.0,3.0,7.0,11.0,5.0,6.0,10.0,7.0,2.0,7.0,6.0,9.0,1.0,9.0,12.0,0.0,10.0,16.0,6.0,10.0,3.0,8.0,7.0,6.0,6.0,6.0,3.0,1.0,4.0,6.0,11.0,10.0,0.0,4.0,12.0,2.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,6.0,13.0,3.0,4.0,7.0,8.0,6.0,4.0,5.0,2.0,7.0,7.0,10.0,6.0,12.0,7.0,12.0,4.0,10.0,10.0,6.0,3.0,9.0,9.0,5.0,3.0,4.0,8.0
378,3.0,0.0,5.0,1.0,2.0,2.0,4.0,3.0,2.0,0.0,1.0,2.0,5.0,1.0,0.0,14.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,4.0,1.0,1.0,8.0,1.0,1.0,0.0,2.0,4.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,6.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,3.0,0.0,5.0,0.0,6.0,1.0,1.0,3.0,1.0,4.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,6.0,1.0,1.0,3.0,2.0,3.0,5.0,6.0,3.0,1.0,4.0,1.0,0.0,8.0,2.0,3.0,3.0,1.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,12.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,6.0,4.0,5.0,9.0,2.0,2.0,1.0,9.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,5.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,3.0
379,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,5.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,2.0,10.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,8.0,0.0,2.0,0.0,3.0,5.0,6.0,0.0,2.0,5.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,4.0,4.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,5.0,1.0
380,2.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,4.0,1.0,3.0,2.0,0.0,2.0,0.0,10.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,6.0,1.0,1.0,2.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,4.0,12.0,2.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,5.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,2.0,5.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,1.0,2.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0
381,0.0,0.0,2.0,0.0,6.0,3.0,3.0,15.0,3.0,1.0,1.0,2.0,11.0,3.0,1.0,18.0,2.0,1.0,6.0,3.0,2.0,3.0,2.0,4.0,14.0,4.0,1.0,13.0,2.0,4.0,1.0,8.0,3.0,3.0,2.0,2.0,5.0,0.0,3.0,0.0,3.0,7.0,5.0,6.0,0.0,4.0,5.0,3.0,3.0,6.0,1.0,1.0,0.0,1.0,2.0,1.0,8.0,2.0,0.0,2.0,6.0,2.0,5.0,4.0,0.0,9.0,16.0,8.0,10.0,2.0,1.0,0.0,6.0,2.0,7.0,3.0,5.0,0.0,3.0,1.0,8.0,0.0,7.0,2.0,10.0,5.0,14.0,5.0,3.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,0.0,2.0,1.0,1.0,0.0,4.0,1.0,7.0,0.0,5.0,11.0,5.0,9.0,0.0,7.0,6.0,3.0,2.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,8.0,5.0,4.0,2.0,1.0,6.0,3.0,8.0,9.0,1.0,5.0,1.0,3.0,4.0,4.0,3.0,8.0,6.0,5.0,4.0,11.0,0.0,5.0,0.0,8.0,5.0,47.0,4.0,0.0,2.0,0.0,0.0,8.0,2.0,5.0,9.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,5.0,2.0,2.0,4.0,9.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,6.0,2.0,0.0,7.0,0.0,7.0,2.0,0.0,5.0,5.0,3.0,1.0,8.0,0.0,8.0,1.0,1.0,5.0
382,10.0,4.0,6.0,4.0,8.0,4.0,6.0,10.0,7.0,7.0,8.0,5.0,5.0,6.0,4.0,9.0,8.0,2.0,8.0,11.0,7.0,3.0,6.0,8.0,7.0,6.0,5.0,6.0,5.0,3.0,4.0,7.0,7.0,5.0,4.0,11.0,10.0,1.0,5.0,7.0,5.0,2.0,3.0,12.0,9.0,6.0,6.0,12.0,7.0,5.0,5.0,6.0,4.0,6.0,12.0,9.0,5.0,5.0,8.0,3.0,8.0,6.0,1.0,2.0,4.0,6.0,7.0,4.0,15.0,2.0,4.0,2.0,12.0,1.0,6.0,9.0,8.0,4.0,8.0,7.0,11.0,5.0,7.0,4.0,8.0,4.0,5.0,4.0,4.0,5.0,9.0,5.0,3.0,6.0,7.0,6.0,7.0,13.0,1.0,7.0,6.0,1.0,3.0,3.0,8.0,4.0,4.0,4.0,5.0,9.0,4.0,5.0,6.0,4.0,6.0,5.0,6.0,8.0,9.0,3.0,6.0,3.0,9.0,11.0,4.0,4.0,5.0,5.0,8.0,6.0,6.0,3.0,3.0,9.0,7.0,3.0,14.0,4.0,12.0,6.0,5.0,5.0,7.0,9.0,3.0,3.0,6.0,6.0,2.0,5.0,7.0,6.0,2.0,9.0,8.0,7.0,31.0,5.0,8.0,6.0,6.0,5.0,3.0,3.0,11.0,6.0,8.0,5.0,3.0,9.0,10.0,5.0,8.0,6.0,3.0,3.0,5.0,6.0,5.0,4.0,10.0,6.0,8.0,6.0,5.0,4.0,6.0,8.0,14.0,7.0,8.0,3.0,6.0,6.0,4.0,0.0,1.0,9.0,6.0,7.0
383,2.0,8.0,2.0,0.0,2.0,1.0,3.0,7.0,1.0,0.0,5.0,2.0,2.0,0.0,22.0,21.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,18.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,1.0,4.0,0.0,1.0,6.0,3.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,9.0,10.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,4.0,0.0,2.0,5.0,1.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0,1.0,2.0,5.0,0.0,27.0,2.0,2.0,2.0,9.0,6.0,1.0,5.0,1.0,5.0,1.0,12.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,3.0,5.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,4.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,3.0,5.0
384,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
385,1.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,4.0,0.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,2.0,2.0,1.0,5.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,0.0,3.0,0.0,3.0,3.0,4.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,8.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,5.0,3.0,7.0,1.0,1.0,0.0,2.0,6.0,8.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,4.0,0.0,1.0,3.0,0.0,14.0,2.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,0.0,5.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0
386,5.0,6.0,2.0,5.0,6.0,4.0,8.0,17.0,4.0,5.0,3.0,10.0,4.0,6.0,4.0,18.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,4.0,8.0,6.0,7.0,5.0,6.0,8.0,5.0,8.0,3.0,5.0,4.0,6.0,3.0,4.0,2.0,1.0,4.0,3.0,7.0,4.0,6.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,6.0,3.0,6.0,9.0,11.0,6.0,5.0,4.0,5.0,1.0,0.0,8.0,1.0,2.0,1.0,4.0,2.0,9.0,2.0,1.0,5.0,18.0,11.0,3.0,9.0,7.0,7.0,4.0,6.0,6.0,8.0,5.0,6.0,2.0,8.0,2.0,5.0,7.0,2.0,6.0,4.0,8.0,4.0,4.0,4.0,3.0,5.0,2.0,2.0,11.0,8.0,5.0,4.0,3.0,6.0,2.0,4.0,3.0,3.0,7.0,4.0,9.0,6.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,7.0,3.0,8.0,9.0,6.0,1.0,4.0,4.0,5.0,6.0,4.0,3.0,6.0,4.0,3.0,8.0,6.0,6.0,4.0,8.0,8.0,3.0,4.0,11.0,4.0,2.0,7.0,2.0,5.0,15.0,5.0,5.0,2.0,1.0,3.0,2.0,8.0,8.0,3.0,4.0,3.0,5.0,3.0,8.0,3.0,4.0,5.0,3.0,6.0,5.0,4.0,4.0,5.0,8.0,9.0,9.0,7.0,3.0,10.0,12.0,7.0,5.0,7.0,4.0,2.0,7.0,4.0,5.0,11.0,2.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0
387,2.0,3.0,4.0,1.0,7.0,1.0,6.0,4.0,7.0,4.0,3.0,3.0,2.0,4.0,1.0,12.0,5.0,0.0,4.0,5.0,1.0,2.0,2.0,4.0,6.0,9.0,0.0,4.0,4.0,4.0,8.0,3.0,3.0,3.0,1.0,3.0,4.0,0.0,5.0,2.0,3.0,7.0,2.0,7.0,2.0,4.0,4.0,7.0,4.0,8.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,1.0,6.0,3.0,2.0,0.0,4.0,9.0,1.0,8.0,6.0,2.0,6.0,3.0,3.0,6.0,3.0,7.0,1.0,5.0,8.0,8.0,6.0,8.0,5.0,6.0,4.0,13.0,5.0,4.0,2.0,2.0,4.0,5.0,8.0,0.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,5.0,3.0,5.0,2.0,4.0,7.0,4.0,1.0,5.0,2.0,2.0,1.0,2.0,3.0,9.0,6.0,3.0,3.0,5.0,8.0,1.0,5.0,5.0,7.0,4.0,6.0,12.0,2.0,2.0,6.0,7.0,0.0,7.0,5.0,1.0,0.0,6.0,13.0,3.0,2.0,10.0,13.0,6.0,9.0,7.0,3.0,5.0,2.0,3.0,7.0,11.0,4.0,2.0,5.0,5.0,2.0,3.0,4.0,2.0,3.0,0.0,6.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,4.0,2.0,5.0,1.0,2.0,4.0,10.0,1.0,3.0,5.0,1.0,1.0,7.0,3.0,4.0,3.0,2.0,4.0,6.0,2.0,5.0,2.0,5.0,11.0
388,0.0,1.0,3.0,2.0,4.0,2.0,3.0,1.0,11.0,4.0,2.0,2.0,11.0,3.0,1.0,5.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,16.0,5.0,2.0,7.0,0.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,5.0,3.0,0.0,2.0,0.0,3.0,6.0,0.0,15.0,0.0,0.0,0.0,1.0,5.0,0.0,6.0,2.0,1.0,2.0,7.0,1.0,3.0,3.0,0.0,3.0,6.0,1.0,3.0,1.0,1.0,9.0,8.0,4.0,6.0,2.0,6.0,0.0,4.0,8.0,5.0,4.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,12.0,3.0,0.0,1.0,0.0,2.0,3.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,3.0,5.0,2.0,4.0,2.0,24.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,11.0,3.0,1.0,13.0,3.0,0.0,4.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,5.0,0.0,0.0,2.0,8.0,1.0,1.0,5.0,2.0,6.0,0.0,12.0,3.0,6.0,1.0,2.0,5.0,3.0,0.0,2.0,1.0,0.0,3.0,1.0,11.0,1.0,4.0,1.0,0.0,1.0,7.0,4.0,3.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,8.0,1.0,3.0,3.0,5.0,0.0,1.0,1.0,5.0,6.0
389,8.0,11.0,3.0,4.0,4.0,10.0,8.0,9.0,3.0,8.0,6.0,9.0,3.0,2.0,7.0,6.0,6.0,5.0,5.0,5.0,7.0,5.0,8.0,2.0,9.0,4.0,10.0,1.0,4.0,9.0,9.0,8.0,7.0,11.0,8.0,12.0,8.0,16.0,2.0,6.0,4.0,2.0,4.0,5.0,8.0,16.0,5.0,1.0,4.0,3.0,2.0,9.0,12.0,7.0,6.0,10.0,3.0,1.0,15.0,6.0,2.0,11.0,6.0,3.0,7.0,3.0,9.0,8.0,13.0,4.0,6.0,0.0,7.0,3.0,2.0,11.0,13.0,7.0,16.0,3.0,12.0,5.0,3.0,10.0,10.0,3.0,3.0,7.0,8.0,7.0,19.0,5.0,0.0,7.0,1.0,4.0,5.0,8.0,6.0,2.0,7.0,4.0,11.0,12.0,4.0,1.0,7.0,4.0,9.0,9.0,3.0,5.0,3.0,8.0,10.0,6.0,1.0,6.0,7.0,10.0,6.0,3.0,6.0,4.0,2.0,3.0,2.0,1.0,3.0,7.0,11.0,3.0,7.0,14.0,15.0,2.0,9.0,3.0,4.0,5.0,5.0,8.0,11.0,1.0,9.0,7.0,3.0,9.0,8.0,9.0,5.0,6.0,6.0,4.0,4.0,2.0,11.0,7.0,5.0,9.0,9.0,3.0,12.0,3.0,4.0,13.0,14.0,7.0,20.0,6.0,15.0,7.0,3.0,6.0,5.0,4.0,6.0,4.0,1.0,7.0,5.0,8.0,4.0,1.0,6.0,4.0,0.0,7.0,11.0,5.0,6.0,5.0,17.0,9.0,7.0,3.0,5.0,11.0,7.0,11.0
390,2.0,3.0,0.0,1.0,2.0,3.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,4.0,0.0,21.0,4.0,1.0,1.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,1.0,4.0,0.0,0.0,2.0,9.0,1.0,1.0,1.0,2.0,0.0,2.0,4.0,4.0,2.0,7.0,0.0,6.0,2.0,1.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,0.0,3.0,2.0,1.0,6.0,12.0,10.0,1.0,4.0,2.0,4.0,0.0,2.0,12.0,4.0,1.0,6.0,0.0,2.0,3.0,2.0,0.0,9.0,4.0,13.0,1.0,10.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.0,1.0,1.0,0.0,3.0,5.0,2.0,5.0,3.0,3.0,2.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,6.0,1.0,6.0,1.0,2.0,6.0,1.0,3.0,10.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,5.0,1.0,35.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,8.0,0.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,0.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,16.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,4.0
